Country,Approval of China Leadership,Approval of Germany Leadership,Approval of Russia Leadership,Approval of US Leadership,Confidence in Judicial System,Confidence in Military,Corruption in Government,Freedom of Media,Good place for Gay People,Good place for Minorities,Honesty of Elections,Move Away or Stay
Burkina Faso (2024),0.946899084608656,0.8561037371594169,0.6241772379989818,0.910663927653963,0.988349013680617,0.9946641726371807,0.9680109724890144,0.9906572136146851,0.8634486018796595,0.9882574553981007,0.8918640361792056,0.966639408690682
Burundi (2018),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9758379354258708,0.0,0.0,0.9494583381108959
Cambodia (2023),0.9598765594472237,0.9868512670740349,0.90458082656359,0.9817962985088837,0.0,0.9989060518060353,0.0,0.9793672585994913,0.8721601210357264,0.8748440259718174,0.0,0.9911772720546961
Cameroon (2024),0.9521844030203939,0.9482133042035631,0.9739147683683702,0.9566366132685558,0.9917992426208998,0.9970558027629703,0.9943984881810135,0.9921998935406585,0.9456878373974485,0.9951693561735906,0.997938288626556,0.9521728556484509
Canada (2024),0.9458379814190017,0.9435101750725203,0.9583841870598127,0.9896477171058659,0.9943482437461577,0.9844168568511622,0.9816064611475162,0.9862010207425121,0.9898187769704673,0.9947176567808985,0.9918443742312517,0.9930312747278565
Central African Republic (2017),0.9652923233386146,0.996298817287252,0.9967987716279729,0.9305424758937739,0.9924635559766983,0.9883366118107958,0.9951695824775326,0.99168643239392,0.8920713231698668,0.9960165792251118,0.9829707669846214,0.9820196371365709
Chad (2023),0.9435080205642407,0.9441243147019788,0.9141871360465283,0.9333312399908344,0.9939418025064768,0.9905356759374119,0.9956096323386177,0.9948910481526011,0.9540401658788935,0.9944789354802276,0.9959123132440069,0.9916501940296376
Chile (2023),0.9956863278775082,0.9990731613390619,0.9880977821380972,0.9616196242694943,0.9927006467942829,0.9806029242986318,0.9975647094472964,0.9788473341943899,0.9912435620647597,0.9922628468423839,0.9934031728093716,0.9937925109652672
China (2023),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7398381072897146,0.0,0.0,0.9474183376521058
Colombia (2023),0.991721158510583,0.9926679722328823,0.9958291098697674,0.9541401576346169,0.9974836809507664,0.9910721431907958,0.9986841542857502,0.979203073014477,0.9974189193001957,0.9859103898120589,0.9861858814227827,0.9963265679396811
Comoros (2023),0.9832251488367832,0.995742800549866,0.9805806108482197,0.9920891644663804,0.9891877234234501,0.9939994277960199,0.9865236873472999,0.9963337762480435,0.940816974307835,0.9949255548019991,0.9942355817028685,0.9806916620232098
Congo-Brazzaville (2024),0.9970231652786683,0.9910425977043663,0.9960597166952052,0.9757650748801936,0.9998293683585672,0.9941020289232838,0.9968425455402418,0.9896848894461315,0.9452816223272464,0.9976734520908909,0.9942706005607657,0.9473206466812055
Congo-Kinshasa (2024),0.9707902325574127,0.9968323613887524,0.9599409611526561,0.9932454520114057,0.9956211044013553,0.9909082345286326,0.9975429798432138,0.9749454141477865,0.9392875008812955,0.9966860006547101,0.9884735174042122,0.9679793288264016
Costa Rica (2024),0.9986114265339338,0.9947836765905216,0.9843848413474731,0.9566901584567977,0.9940452434284839,0.9005268424106937,0.9972208952618133,0.9695674444323599,0.9781991368609498,0.9943924432366645,0.9916889107768194,0.9950722144549586
Cote D'Ivoire (2024),0.966130505776361,0.9925838968274634,0.9778751634306392,0.9876893866415964,0.9950393843352867,0.9937271563942662,0.9910158549260937,0.9960681813052111,0.9490396020860655,0.9993721768477376,0.9864378941418612,0.9564334371626975
Croatia (2023),0.9349895842690397,0.9679794796578104,0.9806189180350384,0.9675274775247675,0.9974485960448732,0.9910280401456485,0.9881577233203694,0.9389112243183404,0.9898479744270875,0.9830819247647465,0.9966752074544313,0.9895444044797681
Cyprus (2024),0.9604878442594712,0.9791821550479494,0.9468223748625365,0.970260371663415,0.9935414057045694,0.9728520258692434,0.9973852739098862,0.9888915833776143,0.9976248135769319,0.9853036502627015,0.9139206939671097,0.9845668174476807
Czech Republic (2024),0.9963955717564829,0.9856513031673237,0.9920413461458162,0.9791061990615942,0.9988869664090809,0.9911212934736935,0.9917991622663782,0.9708748512429967,0.9744558530527214,0.9960533709902937,0.9353874227974384,0.9905816501950737
Denmark (2024),0.9646368880692106,0.9857918340058142,0.9939999335652805,0.9777233306327341,0.9960218676622143,0.9944534985937868,0.9967325555185917,0.9854813171929288,0.997609731396056,0.9948548677046212,0.9219486194782193,0.9771238098925596
Dominican Republic (2024),0.994901075344956,0.9937397610726301,0.9904126892114916,0.9860029669923531,0.986522666927913,0.9753903650521365,0.9760411570492293,0.9503649541930326,0.9750277480093924,0.9593690592085707,0.9950197346329055,0.9971442900840471
Ecuador (2024),0.9885197320697078,0.9734355797525912,0.9874156830769699,0.9635461313161687,0.9875879651892541,0.9765726068685319,0.9968159208911933,0.9794001337780529,0.9440645898194984,0.9677473124560497,0.9828154025448386,0.997304042170493
